timestamp,gpu_util,memory_used_mb,memory_total_mb,power_draw_w
2026/03/09 23:49:23.323,28.0,1447.0,10240.0,31.5
2026/03/09 23:49:24.421,27.0,1447.0,10240.0,31.23
2026/03/09 23:49:25.486,25.0,1450.0,10240.0,31.28
2026/03/09 23:49:26.548,26.0,1450.0,10240.0,31.48
2026/03/09 23:49:27.598,9.0,1981.0,10240.0,68.2
2026/03/09 23:49:28.642,100.0,2022.0,10240.0,126.69
2026/03/09 23:49:29.696,84.0,2024.0,10240.0,124.62
2026/03/09 23:49:30.744,100.0,2084.0,10240.0,131.63
2026/03/09 23:49:31.796,100.0,2028.0,10240.0,126.12
2026/03/09 23:49:32.842,19.0,1674.0,10240.0,130.47
2026/03/09 23:49:33.885,100.0,2025.0,10240.0,126.97
2026/03/09 23:49:34.929,15.0,1673.0,10240.0,127.24
