timestamp,gpu_util,memory_used_mb,memory_total_mb,power_draw_w
2026/03/09 23:48:59.643,2.0,1447.0,10240.0,124.59
2026/03/09 23:49:00.729,2.0,1447.0,10240.0,114.49
2026/03/09 23:49:01.794,14.0,1450.0,10240.0,36.28
2026/03/09 23:49:02.841,100.0,1865.0,10240.0,82.49
2026/03/09 23:49:03.888,100.0,1867.0,10240.0,129.03
2026/03/09 23:49:04.932,3.0,1671.0,10240.0,124.24
2026/03/09 23:49:05.977,2.0,1671.0,10240.0,118.68
2026/03/09 23:49:07.020,3.0,1673.0,10240.0,102.01
2026/03/09 23:49:08.063,2.0,1673.0,10240.0,101.63
2026/03/09 23:49:09.106,4.0,1673.0,10240.0,93.55
2026/03/09 23:49:10.149,13.0,1670.0,10240.0,36.17
2026/03/09 23:49:11.194,21.0,1670.0,10240.0,32.88
2026/03/09 23:49:12.239,23.0,1670.0,10240.0,31.59
2026/03/09 23:49:13.283,23.0,1658.0,10240.0,31.55
2026/03/09 23:49:14.328,22.0,1658.0,10240.0,31.46
2026/03/09 23:49:15.372,21.0,1658.0,10240.0,31.22
2026/03/09 23:49:16.417,23.0,1658.0,10240.0,31.43
2026/03/09 23:49:17.461,20.0,1658.0,10240.0,31.31
2026/03/09 23:49:18.506,22.0,1658.0,10240.0,31.22
2026/03/09 23:49:19.553,24.0,1658.0,10240.0,31.24
2026/03/09 23:49:21.221,22.0,1658.0,10240.0,31.18
2026/03/09 23:49:22.265,25.0,1658.0,10240.0,31.33
