timestamp,gpu_util,memory_used_mb,memory_total_mb,power_draw_w
2026/03/09 23:27:08.987,9.0,1590.0,10240.0,81.08
2026/03/09 23:27:10.056,3.0,1598.0,10240.0,100.11
2026/03/09 23:27:11.127,9.0,1596.0,10240.0,93.15
2026/03/09 23:27:12.193,15.0,1585.0,10240.0,35.33
2026/03/09 23:27:13.262,32.0,1584.0,10240.0,32.65
2026/03/09 23:27:14.331,25.0,1583.0,10240.0,32.06
2026/03/09 23:27:15.393,25.0,1586.0,10240.0,31.66
2026/03/09 23:27:16.464,25.0,1586.0,10240.0,31.62
2026/03/09 23:27:17.546,34.0,1590.0,10240.0,31.67
2026/03/09 23:27:18.703,24.0,1595.0,10240.0,31.0
2026/03/09 23:27:19.909,23.0,1586.0,10240.0,31.17
2026/03/09 23:27:21.107,28.0,1579.0,10240.0,30.3
2026/03/09 23:27:22.287,4.0,1583.0,10240.0,56.22
2026/03/09 23:27:23.424,2.0,1578.0,10240.0,99.71
2026/03/09 23:27:25.105,3.0,1576.0,10240.0,100.03
2026/03/09 23:27:26.279,2.0,1576.0,10240.0,100.2
2026/03/09 23:27:27.441,14.0,1570.0,10240.0,35.55
2026/03/09 23:27:28.615,26.0,1564.0,10240.0,32.34
2026/03/09 23:27:29.753,24.0,1564.0,10240.0,31.14
2026/03/09 23:27:30.870,24.0,1564.0,10240.0,30.95
2026/03/09 23:27:32.030,23.0,1564.0,10240.0,30.89
2026/03/09 23:27:33.170,23.0,1564.0,10240.0,30.92
2026/03/09 23:27:34.295,24.0,1564.0,10240.0,30.8
2026/03/09 23:27:35.421,23.0,1564.0,10240.0,30.97
2026/03/09 23:27:36.564,28.0,1564.0,10240.0,31.03
2026/03/09 23:27:37.712,25.0,1564.0,10240.0,30.86
2026/03/09 23:27:38.871,24.0,1564.0,10240.0,30.72
2026/03/09 23:27:40.018,24.0,1564.0,10240.0,31.0
2026/03/09 23:27:41.145,26.0,1564.0,10240.0,30.89
2026/03/09 23:27:42.316,29.0,1564.0,10240.0,30.97
2026/03/09 23:27:43.508,24.0,1564.0,10240.0,30.78
2026/03/09 23:27:44.631,25.0,1564.0,10240.0,30.55
2026/03/09 23:27:45.796,25.0,1564.0,10240.0,30.64
2026/03/09 23:27:46.951,24.0,1564.0,10240.0,30.86
2026/03/09 23:27:48.137,22.0,1564.0,10240.0,30.93
2026/03/09 23:27:49.264,28.0,1564.0,10240.0,30.88
2026/03/09 23:27:50.406,25.0,1564.0,10240.0,31.46
2026/03/09 23:27:51.599,25.0,1564.0,10240.0,31.02
2026/03/09 23:27:52.740,23.0,1564.0,10240.0,31.24
2026/03/09 23:27:53.932,24.0,1564.0,10240.0,31.02
2026/03/09 23:27:55.076,28.0,1564.0,10240.0,31.1
2026/03/09 23:27:56.203,26.0,1564.0,10240.0,30.86
2026/03/09 23:27:57.944,23.0,1564.0,10240.0,30.76
2026/03/09 23:27:59.078,25.0,1564.0,10240.0,31.05
2026/03/09 23:28:00.223,24.0,1564.0,10240.0,30.88
2026/03/09 23:28:01.386,25.0,1564.0,10240.0,31.14
2026/03/09 23:28:02.584,28.0,1564.0,10240.0,31.27
2026/03/09 23:28:03.749,24.0,1564.0,10240.0,30.99
2026/03/09 23:28:04.963,23.0,1564.0,10240.0,31.39
2026/03/09 23:28:06.057,24.0,1564.0,10240.0,31.29
2026/03/09 23:28:07.237,26.0,1564.0,10240.0,31.42
2026/03/09 23:28:08.429,27.0,1564.0,10240.0,31.08
2026/03/09 23:28:09.614,26.0,1568.0,10240.0,31.03
2026/03/09 23:28:10.761,23.0,1568.0,10240.0,31.19
2026/03/09 23:28:11.917,23.0,1568.0,10240.0,30.89
2026/03/09 23:28:13.080,24.0,1568.0,10240.0,30.87
2026/03/09 23:28:14.217,23.0,1568.0,10240.0,31.06
2026/03/09 23:28:15.419,26.0,1564.0,10240.0,31.08
2026/03/09 23:28:16.563,29.0,1564.0,10240.0,30.81
2026/03/09 23:28:17.695,23.0,1564.0,10240.0,30.91
2026/03/09 23:28:18.841,23.0,1564.0,10240.0,30.96
2026/03/09 23:28:19.986,24.0,1564.0,10240.0,31.22
2026/03/09 23:28:21.111,22.0,1564.0,10240.0,31.29
2026/03/09 23:28:22.329,25.0,1564.0,10240.0,31.04
2026/03/09 23:28:23.483,28.0,1564.0,10240.0,31.21
2026/03/09 23:28:24.625,25.0,1564.0,10240.0,31.16
2026/03/09 23:28:25.765,24.0,1564.0,10240.0,30.89
2026/03/09 23:28:26.878,25.0,1564.0,10240.0,31.08
2026/03/09 23:28:28.013,25.0,1564.0,10240.0,30.62
2026/03/09 23:28:29.163,23.0,1564.0,10240.0,30.88
2026/03/09 23:28:30.822,30.0,1582.0,10240.0,30.97
2026/03/09 23:28:31.969,31.0,1582.0,10240.0,31.31
2026/03/09 23:28:33.120,25.0,1582.0,10240.0,31.32
2026/03/09 23:28:34.266,25.0,1577.0,10240.0,31.45
2026/03/09 23:28:35.377,25.0,1577.0,10240.0,31.31
2026/03/09 23:28:36.509,25.0,1564.0,10240.0,31.33
2026/03/09 23:28:37.685,29.0,1562.0,10240.0,31.38
2026/03/09 23:28:38.821,29.0,1562.0,10240.0,31.21
2026/03/09 23:28:39.968,26.0,1562.0,10240.0,31.06
2026/03/09 23:28:41.109,26.0,1562.0,10240.0,31.05
2026/03/09 23:28:42.242,26.0,1562.0,10240.0,31.27
2026/03/09 23:28:43.399,25.0,1562.0,10240.0,31.3
2026/03/09 23:28:44.564,30.0,1562.0,10240.0,31.24
2026/03/09 23:28:45.712,30.0,1562.0,10240.0,31.59
2026/03/09 23:28:46.848,26.0,1562.0,10240.0,31.21
2026/03/09 23:28:47.988,26.0,1562.0,10240.0,31.23
2026/03/09 23:28:49.120,21.0,1568.0,10240.0,31.01
2026/03/09 23:28:50.295,4.0,1577.0,10240.0,85.74
2026/03/09 23:28:51.464,5.0,1579.0,10240.0,100.86
2026/03/09 23:28:52.620,5.0,1578.0,10240.0,101.75
2026/03/09 23:28:53.829,16.0,1581.0,10240.0,49.47
2026/03/09 23:28:54.962,25.0,1591.0,10240.0,33.06
2026/03/09 23:28:56.130,26.0,1591.0,10240.0,32.64
2026/03/09 23:28:57.338,5.0,1590.0,10240.0,101.61
2026/03/09 23:28:58.533,5.0,1591.0,10240.0,102.24
2026/03/09 23:28:59.718,4.0,1573.0,10240.0,102.35
2026/03/09 23:29:00.860,14.0,1575.0,10240.0,37.05
2026/03/09 23:29:02.082,22.0,1582.0,10240.0,37.97
2026/03/09 23:29:03.673,4.0,1584.0,10240.0,100.2
2026/03/09 23:29:04.847,4.0,1587.0,10240.0,102.7
2026/03/09 23:29:06.002,4.0,1607.0,10240.0,103.01
2026/03/09 23:29:07.143,11.0,1608.0,10240.0,49.6
2026/03/09 23:29:08.264,13.0,1607.0,10240.0,32.89
2026/03/09 23:29:09.426,21.0,1606.0,10240.0,30.93
2026/03/09 23:29:10.543,23.0,1604.0,10240.0,30.69
2026/03/09 23:29:11.718,25.0,1598.0,10240.0,30.75
2026/03/09 23:29:12.862,21.0,1593.0,10240.0,30.6
2026/03/09 23:29:14.008,20.0,1624.0,10240.0,31.38
2026/03/09 23:29:15.134,19.0,1623.0,10240.0,30.83
2026/03/09 23:29:16.277,23.0,1623.0,10240.0,30.86
2026/03/09 23:29:17.463,22.0,1619.0,10240.0,30.94
2026/03/09 23:29:18.617,19.0,1617.0,10240.0,30.94
2026/03/09 23:29:19.726,25.0,1616.0,10240.0,31.04
2026/03/09 23:29:20.776,24.0,1621.0,10240.0,31.48
2026/03/09 23:29:21.829,11.0,9775.0,10240.0,106.03
2026/03/09 23:29:22.883,75.0,9769.0,10240.0,190.86
2026/03/09 23:29:23.933,68.0,9755.0,10240.0,210.97
2026/03/09 23:29:24.998,68.0,9755.0,10240.0,211.5
2026/03/09 23:29:26.043,48.0,9755.0,10240.0,188.74
2026/03/09 23:29:27.090,64.0,9755.0,10240.0,196.03
2026/03/09 23:29:28.134,54.0,9750.0,10240.0,210.53
2026/03/09 23:29:29.182,78.0,9737.0,10240.0,200.99
2026/03/09 23:29:30.229,60.0,9734.0,10240.0,198.14
2026/03/09 23:29:31.276,73.0,9735.0,10240.0,205.5
2026/03/09 23:29:32.324,67.0,9734.0,10240.0,208.58
2026/03/09 23:29:33.373,72.0,9733.0,10240.0,213.25
2026/03/09 23:29:34.420,74.0,9732.0,10240.0,212.11
2026/03/09 23:29:35.475,77.0,9725.0,10240.0,215.45
2026/03/09 23:29:36.526,76.0,9721.0,10240.0,214.6
2026/03/09 23:29:37.574,51.0,9746.0,10240.0,205.08
2026/03/09 23:29:38.628,72.0,9746.0,10240.0,197.09
2026/03/09 23:29:39.699,56.0,9744.0,10240.0,200.39
2026/03/09 23:29:40.743,64.0,9744.0,10240.0,197.29
2026/03/09 23:29:41.787,51.0,9742.0,10240.0,189.75
2026/03/09 23:29:42.835,62.0,9742.0,10240.0,189.44
2026/03/09 23:29:43.894,68.0,9745.0,10240.0,206.03
2026/03/09 23:29:44.940,70.0,9745.0,10240.0,195.35
2026/03/09 23:29:45.987,73.0,9745.0,10240.0,211.93
2026/03/09 23:29:47.039,75.0,9743.0,10240.0,214.96
2026/03/09 23:29:48.098,68.0,9738.0,10240.0,213.38
2026/03/09 23:29:49.156,71.0,9742.0,10240.0,210.37
2026/03/09 23:29:50.203,65.0,9745.0,10240.0,205.75
2026/03/09 23:29:51.249,54.0,9745.0,10240.0,192.54
2026/03/09 23:29:52.297,64.0,9745.0,10240.0,193.84
2026/03/09 23:29:53.339,51.0,9743.0,10240.0,190.37
2026/03/09 23:29:54.383,51.0,9738.0,10240.0,187.29
2026/03/09 23:29:55.429,56.0,9738.0,10240.0,195.98
2026/03/09 23:29:56.481,75.0,9742.0,10240.0,202.88
2026/03/09 23:29:57.529,74.0,9745.0,10240.0,211.43
2026/03/09 23:29:58.578,71.0,9745.0,10240.0,205.27
2026/03/09 23:29:59.628,74.0,9745.0,10240.0,211.12
2026/03/09 23:30:00.676,67.0,9742.0,10240.0,210.73
2026/03/09 23:30:01.720,59.0,9738.0,10240.0,204.7
2026/03/09 23:30:02.773,60.0,9742.0,10240.0,194.43
2026/03/09 23:30:03.817,57.0,9745.0,10240.0,199.06
2026/03/09 23:30:04.887,52.0,9745.0,10240.0,186.51
2026/03/09 23:30:05.934,69.0,9745.0,10240.0,199.77
2026/03/09 23:30:06.976,69.0,9745.0,10240.0,205.23
2026/03/09 23:30:08.027,51.0,9738.0,10240.0,202.86
2026/03/09 23:30:09.326,63.0,9738.0,10240.0,193.15
2026/03/09 23:30:10.375,62.0,9742.0,10240.0,198.76
2026/03/09 23:30:11.425,53.0,9745.0,10240.0,193.3
2026/03/09 23:30:12.474,49.0,9745.0,10240.0,194.05
2026/03/09 23:30:13.553,72.0,9745.0,10240.0,208.51
2026/03/09 23:30:14.610,71.0,9743.0,10240.0,209.24
2026/03/09 23:30:15.690,67.0,9738.0,10240.0,207.76
2026/03/09 23:30:16.736,73.0,9742.0,10240.0,209.4
2026/03/09 23:30:17.816,76.0,9742.0,10240.0,215.9
2026/03/09 23:30:18.865,70.0,9745.0,10240.0,207.1
2026/03/09 23:30:19.908,74.0,9745.0,10240.0,206.73
2026/03/09 23:30:20.956,65.0,9742.0,10240.0,208.48
2026/03/09 23:30:22.010,72.0,9742.0,10240.0,213.34
2026/03/09 23:30:23.058,75.0,9742.0,10240.0,209.35
2026/03/09 23:30:24.105,61.0,9745.0,10240.0,211.35
