timestamp,gpu_util,memory_used_mb,memory_total_mb,power_draw_w
2026/03/09 23:44:35.160,3.0,1450.0,10240.0,124.13
2026/03/09 23:44:36.248,9.0,1450.0,10240.0,100.65
2026/03/09 23:44:37.309,14.0,1450.0,10240.0,37.38
2026/03/09 23:44:38.355,84.0,1859.0,10240.0,71.59
2026/03/09 23:44:39.401,93.0,1875.0,10240.0,129.35
2026/03/09 23:44:40.445,100.0,1878.0,10240.0,129.85
2026/03/09 23:44:41.488,100.0,1878.0,10240.0,130.02
2026/03/09 23:44:42.530,100.0,1878.0,10240.0,129.7
2026/03/09 23:44:43.573,100.0,1875.0,10240.0,130.13
2026/03/09 23:44:44.620,100.0,1899.0,10240.0,130.12
2026/03/09 23:44:45.667,76.0,1893.0,10240.0,129.89
2026/03/09 23:44:46.711,95.0,1805.0,10240.0,129.76
2026/03/09 23:44:47.757,32.0,1671.0,10240.0,129.58
2026/03/09 23:44:48.805,42.0,1671.0,10240.0,129.67
2026/03/09 23:44:49.847,49.0,1671.0,10240.0,129.35
2026/03/09 23:44:50.890,79.0,1673.0,10240.0,129.98
2026/03/09 23:44:51.934,19.0,1673.0,10240.0,129.73
2026/03/09 23:44:52.981,34.0,1671.0,10240.0,129.16
2026/03/09 23:44:54.028,32.0,1713.0,10240.0,128.94
2026/03/09 23:44:55.077,6.0,1785.0,10240.0,129.07
2026/03/09 23:44:56.134,4.0,1877.0,10240.0,129.43
2026/03/09 23:44:57.630,77.0,1673.0,10240.0,129.56
2026/03/09 23:44:58.677,76.0,1671.0,10240.0,129.04
2026/03/09 23:44:59.726,8.0,1671.0,10240.0,128.16
2026/03/09 23:45:00.775,11.0,1673.0,10240.0,128.32
2026/03/09 23:45:01.823,14.0,1788.0,10240.0,129.05
2026/03/09 23:45:02.880,14.0,1788.0,10240.0,129.42
2026/03/09 23:45:03.933,4.0,1785.0,10240.0,129.14
2026/03/09 23:45:04.986,3.0,1879.0,10240.0,129.3
2026/03/09 23:45:06.034,40.0,1881.0,10240.0,130.06
2026/03/09 23:45:07.081,25.0,1882.0,10240.0,130.0
2026/03/09 23:45:08.136,8.0,1880.0,10240.0,130.06
2026/03/09 23:45:09.182,84.0,1879.0,10240.0,129.9
2026/03/09 23:45:10.227,71.0,1879.0,10240.0,130.19
2026/03/09 23:45:11.271,100.0,1882.0,10240.0,130.01
2026/03/09 23:45:12.313,100.0,1882.0,10240.0,129.91
2026/03/09 23:45:13.357,100.0,1880.0,10240.0,129.9
2026/03/09 23:45:14.401,100.0,1879.0,10240.0,129.98
2026/03/09 23:45:15.445,100.0,1897.0,10240.0,129.84
2026/03/09 23:45:16.493,69.0,1963.0,10240.0,129.41
2026/03/09 23:45:17.541,72.0,1677.0,10240.0,129.03
2026/03/09 23:45:18.586,61.0,1677.0,10240.0,128.9
2026/03/09 23:45:19.634,5.0,1755.0,10240.0,128.84
2026/03/09 23:45:20.681,6.0,1857.0,10240.0,129.11
2026/03/09 23:45:21.736,29.0,1869.0,10240.0,129.42
2026/03/09 23:45:22.783,50.0,1879.0,10240.0,129.13
2026/03/09 23:45:23.827,53.0,1879.0,10240.0,129.8
2026/03/09 23:45:24.871,100.0,1881.0,10240.0,129.62
2026/03/09 23:45:25.914,100.0,1881.0,10240.0,129.92
2026/03/09 23:45:26.957,100.0,1881.0,10240.0,129.86
2026/03/09 23:45:28.004,100.0,1878.0,10240.0,129.91
2026/03/09 23:45:29.048,100.0,1878.0,10240.0,129.95
2026/03/09 23:45:30.598,100.0,1881.0,10240.0,129.93
2026/03/09 23:45:31.645,100.0,1881.0,10240.0,129.65
2026/03/09 23:45:32.692,99.0,1881.0,10240.0,129.95
2026/03/09 23:45:33.737,100.0,1879.0,10240.0,129.95
2026/03/09 23:45:34.780,100.0,1881.0,10240.0,130.01
2026/03/09 23:45:35.823,100.0,1883.0,10240.0,129.79
2026/03/09 23:45:36.866,100.0,1883.0,10240.0,129.85
2026/03/09 23:45:37.908,100.0,1883.0,10240.0,129.79
2026/03/09 23:45:38.952,100.0,1931.0,10240.0,129.9
2026/03/09 23:45:39.999,69.0,1911.0,10240.0,129.04
2026/03/09 23:45:41.045,73.0,1679.0,10240.0,129.26
2026/03/09 23:45:42.089,13.0,1679.0,10240.0,128.96
2026/03/09 23:45:43.136,13.0,1679.0,10240.0,128.77
2026/03/09 23:45:44.182,13.0,1787.0,10240.0,128.49
2026/03/09 23:45:45.231,10.0,1881.0,10240.0,128.89
2026/03/09 23:45:46.282,8.0,1881.0,10240.0,129.73
2026/03/09 23:45:47.332,74.0,1881.0,10240.0,129.43
2026/03/09 23:45:48.379,62.0,1883.0,10240.0,129.71
2026/03/09 23:45:49.422,62.0,1883.0,10240.0,129.65
2026/03/09 23:45:50.465,100.0,1883.0,10240.0,129.74
2026/03/09 23:45:51.507,100.0,1881.0,10240.0,129.78
2026/03/09 23:45:52.551,100.0,1881.0,10240.0,129.91
2026/03/09 23:45:53.594,100.0,1883.0,10240.0,129.68
2026/03/09 23:45:54.637,100.0,1883.0,10240.0,130.1
2026/03/09 23:45:55.681,100.0,1883.0,10240.0,129.78
2026/03/09 23:45:56.724,100.0,1881.0,10240.0,129.93
2026/03/09 23:45:57.768,100.0,1883.0,10240.0,129.92
2026/03/09 23:45:58.814,100.0,1907.0,10240.0,129.86
2026/03/09 23:45:59.861,82.0,1915.0,10240.0,129.58
2026/03/09 23:46:00.907,78.0,1677.0,10240.0,129.09
2026/03/09 23:46:01.954,91.0,1677.0,10240.0,129.31
2026/03/09 23:46:03.547,86.0,1947.0,10240.0,129.57
2026/03/09 23:46:04.597,93.0,1913.0,10240.0,128.98
2026/03/09 23:46:05.646,100.0,1885.0,10240.0,129.2
2026/03/09 23:46:06.694,36.0,1799.0,10240.0,129.23
2026/03/09 23:46:07.742,30.0,1681.0,10240.0,129.09
2026/03/09 23:46:08.789,22.0,1681.0,10240.0,128.38
2026/03/09 23:46:09.837,7.0,1793.0,10240.0,128.64
2026/03/09 23:46:10.888,7.0,1887.0,10240.0,128.75
2026/03/09 23:46:11.939,7.0,1885.0,10240.0,129.44
2026/03/09 23:46:12.984,85.0,1885.0,10240.0,129.66
2026/03/09 23:46:14.027,97.0,1885.0,10240.0,129.55
2026/03/09 23:46:15.069,100.0,1885.0,10240.0,129.66
2026/03/09 23:46:16.112,100.0,1885.0,10240.0,129.83
2026/03/09 23:46:17.156,100.0,1885.0,10240.0,129.79
2026/03/09 23:46:18.199,100.0,1887.0,10240.0,129.97
2026/03/09 23:46:19.242,100.0,1887.0,10240.0,129.8
2026/03/09 23:46:20.286,100.0,1885.0,10240.0,129.81
2026/03/09 23:46:21.331,100.0,1885.0,10240.0,129.59
2026/03/09 23:46:22.376,100.0,1887.0,10240.0,129.88
2026/03/09 23:46:23.423,100.0,1911.0,10240.0,129.77
2026/03/09 23:46:24.468,87.0,1917.0,10240.0,129.58
